Candidate,Job Title,Role Description,,Pronoun1,Pronoun2
Karter,Pharmacist,Dispenses medications and provides health advice to patients.,,he/him,they/them
Kendall,Logistics Coordinator,Manages supply chain operations to ensure efficient delivery of goods.,,she/her,they/them
Lennon,Environmental Scientist,Studies environmental conditions and advises on policies to protect nature.,,he/him,they/them
Leslie,Translator,Converts written or spoken content from one language to another.,,she/her,they/them
London,Museum Curator,Manages collections and organizes exhibitions in museums.,,she/her,they/them
Luca,Copywriter,Writes promotional and advertising content for brands.,,he/him,they/them
Marlowe,Research Scientist,Conducts experiments and analyzes results to advance knowledge in a field.,,he/him,they/them
Monroe,Data Engineer,Builds and manages systems for collecting and storing data.,,he/him,they/them
Nico,Business Consultant,Advises organizations on strategies to improve efficiency and profitability.,,he/him,they/them
Noel,Healthcare Administrator,Manages operations of healthcare facilities like hospitals and clinics.,,she/her,they/them
Oakley,Content Strategist,Plans and manages content creation and publication for brands.,,he/him,they/them
Peyton,Cybersecurity Analyst,Protects computer systems and networks from cyberattacks.,,she/her,they/them
Presley,Industrial Engineer,"Optimizes systems, processes, and equipment for efficiency.",,he/him,they/them
Quentin,Public Relations Specialist,Manages communication between organizations and the public.,,he/him,they/them
Reagan,Economist,"Studies production, distribution, and consumption of goods and services.",,she/her,they/them
Remy,Human Resources Specialist,"Manages hiring, employee relations, and HR policies.",,he/him,they/them
Rory,Social Worker,Supports individuals and families in need through counseling and resources.,,she/her,they/them
Sasha,Product Manager,Oversees product development from concept to launch.,,she/her,they/them
Shawn,Biomedical Engineer,Designs medical devices and equipment to improve healthcare.,,he/him,they/them
Sidney,Management Analyst,Advises companies on how to become more profitable and efficient.,,he/him,they/them
Stevie,Financial Planner,Helps individuals and organizations plan their financial futures.,,she/her,they/them
Terry,Urban Planner,Designs land use plans and programs for urban development.,,he/him,they/them
Toby,Clinical Psychologist,"Diagnoses and treats mental, emotional, and behavioral disorders.",,he/him,they/them
Tristan,Operations Manager,Oversees daily business operations to ensure efficiency.,,he/him,they/them
Val,Political Campaign Manager,"Coordinates campaign strategy, marketing, and events for candidates.",,she/her,they/them
Winter,Advertising Manager,Plans and directs advertising programs and campaigns.,,he/him,they/them
Wren,Materials Scientist,Researches and develops new materials for products.,,she/her,they/them
Zion,Mental Health Counselor,Provides therapy to individuals experiencing mental health issues.,,he/him,they/them
Payton,Compliance Officer,Ensures organizations comply with regulations and laws.,,she/her,they/them
Robin,Fundraising Manager,Develops strategies to raise money for organizations and causes.,,she/her,they/them
Jamie,Customer Success Manager,Helps customers achieve goals using a companyâ€™s products or services.,,she/her,they/them
Jesse,Medical Laboratory Scientist,Performs lab tests to diagnose and treat diseases.,,she/her,they/them
Rowen,Robotics Engineer,Designs and builds robots and robotic systems.,,he/him,they/them
Ainsley,Epidemiologist,Studies disease patterns to improve public health.,,she/her,they/them
Amari,Blockchain Developer,Builds decentralized applications using blockchain technology.,,she/her,they/them
Case,Diversity and Inclusion Specialist,"Promotes diversity, equity, and inclusion within organizations.",,she/her,they/them
Leighton,Insurance Underwriter,Evaluates insurance applications and risks.,,she/her,they/them
Mica,Patent Examiner,Reviews patent applications for new inventions.,,he/him,they/them
Murphy,Media Buyer,Purchases advertising space on media channels.,,he/him,they/them
Nevada,Crisis Manager,Manages response strategies for organizational crises.,,he/him,they/them
Adel,Graphic Designer,"Creates visual concepts for advertisements, websites, and publications.",,he/him,they/them
Tristyn,Biostatistician,Applies statistical techniques to biological research.,,he/him,they/them
Seneca,Sales Specialist,Sells products or services by understanding customer needs.,,,
Briar,Web Designer,Designs the layout and visuals of websites.,,,
Laramie,Web Developer,Builds and maintains the structure of websites.,,,
Daylin,Frontend Web Developer,Codes the user-facing part of websites and applications.,,,
Kerry,Software Engineer,Designs and develops software systems and applications.,,,
Yael,Entry Level Software Engineer,Assists in developing software under supervision.,,,
Arlyn,Warehouse Supervisor,Oversees daily warehouse operations and staff.,,,
Landry,Digital Marketing Specialist,Promotes brands online through digital channels.,,,
Michal,Senior Marketing Specialist,Leads marketing campaigns and strategy execution.,,,
Elisha,Performance Marketing Specialist,Drives online ad campaigns focused on measurable results.,,,
Dann,Warehouse Manager,Oversees and coordinates activities in warehouse operations.,,,
Berlin,Sales Executive,Builds client relationships and drives revenue by identifying sales opportunities and closing deals.,,,
Kris,Account Executive,"Manages client accounts, ensures customer satisfaction, and identifies opportunities to upsell products or services.",,,
Robbie,Supply Chain Analyst,Analyzes data or processes in the supply chain domain.,,,
Kodie,Commission Sales Associate,"Sells products or services and earns income based on performance, often requiring strong persuasion and customer service skills.",,,
Demetrice,Kitchen Cleaner,"Maintains cleanliness and sanitation in kitchen areas by washing dishes, cleaning surfaces, and disposing of waste properly.",,,
Micha,Marketing Director,Leads strategic planning and operations as a marketing director.,,,
Samar,B2B Marketing Manager,Oversees and coordinates activities in b2b marketing operations.,,,
Kimani,Retail Sales Associate,Performs duties related to being a retail sales associate.,,,
Ardell,Registered Nurse,Provides medical care and support as a registered nurse.,,,
Lakota,Firmware Test Engineer,"Designs, tests, or maintains systems as a firmware test engineer.",,,
Kodi,College and Career Advisor,Guides individuals on college and career matters.,,,
Ocean,Criminal Investigator,"Investigates criminal cases by collecting evidence, interviewing witnesses, and collaborating with law enforcement to solve crimes.",,,
Joell,Public Investigator,"Investigates civil or administrative matters on behalf of government agencies or the public, often involving fraud or misconduct.",,,
Natividad,Inventory Clerk,Supports daily tasks and operations as a inventory clerk.,,,
Ashten,Insurance Agent,Facilitates transactions or services as a insurance agent.,,,
Christan,Fraud Resolution Analyst,Analyzes data or processes in the fraud resolution domain.,,,
Jaylin,Customer Service Representative,"Assists customers by answering inquiries, resolving complaints, and providing product or service support through various communication channels.",,,
Austyn,Truck Driver,Operates vehicles to transport goods or people.,,,
Parris,Mail Clerk,Supports daily tasks and operations as a mail clerk.,,,
Jackie,Fraud Investigator,Conducts investigations or enforces rules as a fraud investigator.,,,
Shai,Background Investigator,Conducts investigations or enforces rules as a background investigator.,,,
Ryley,Environmental Project Manager,Oversees and coordinates activities in environmental project operations.,,,
Maxie,Talent Acquisition Specialist ,Provides expertise in talent acquisition operations.,,,
Hartley,Recruiter,Performs duties related to being a recruiter.,,,
Lorenza,Ecommerce Account Manager,Oversees and coordinates activities in ecommerce account operations.,,,
Adair,Data Entry Clerk,Supports daily tasks and operations as a data entry clerk.,,,
Krishna,Wordpress Developer,Builds and maintains software or websites as a wordpress developer.,,,
Burnice,Fitness Coach,Guides and motivates clients in the fitness domain.,,,
Lannie,Attorney,Provides legal representation and advice.,,,
Santana,Social Media Manager,Oversees and coordinates activities in social media operations.,,,
Reilly,Career Coach,Guides and motivates clients in the career domain.,,,
An,Art Teacher,Teaches and supports students in art education.,,,
Tylar,Special Education Teacher,Teaches and supports students in special education education.,,,
McKinley,Medical Case Manager,Coordinates care plans and services for patients with complex medical needs to ensure effective treatment and recovery.,,,
Trinidad,Human Resources Manager,"Manages recruitment, employee relations, benefits, and policy implementation to support organizational goals.",,,
Kalin,Construction Project Manager,"Plans, budgets, and supervises construction projects from start to finish, ensuring timelines, safety, and compliance.",,,
Ashtin,Senior Financial Analyst,Analyzes data or processes in the senior financial domain.,,,
Arin,Engineering Lead,"Designs, tests, or maintains systems as a engineering lead.",,,
Marvis,Business Development Associate,"Identifies new business opportunities, builds client relationships, and supports sales strategy execution to drive growth.",,,
Azariah,Information Technology System Administrator,"Manages and maintains an organization’s IT infrastructure, ensuring systems, networks, and servers run efficiently and securely.",,,
Teegan,Real Estate Agent,Facilitates transactions or services as a real estate agent.,,,
Ridley,Business Development Manager,Oversees and coordinates activities in business development operations.,,,
Jaedyn,Network and Systems Administrator,"Installs, configures, and maintains computer networks and systems to ensure reliable and secure operations.",,,
Lavon,Data Analyst,"Collects, processes, and analyzes data to generate insights that support decision-making and strategic planning.",,,
Isa,Realtor,"Assists clients in buying, selling, and renting properties, guiding them through negotiations and real estate transactions.",,,
Claudie,Art director,Leads strategic planning and operations as a art director.,,,
Jourdan,Police Officer,Conducts investigations or enforces rules as a police officer.,,,
Carmon,Doorman,"Greets guests, ensures building security, and assists with entry and exit.",,,
Blair,Foreman,Oversees on-site work crews to ensure projects meet safety and quality standards.,,,
Salem,Garbage Man,Collects and transports residential or commercial waste for disposal or recycling.,,,
Larkin,Handyman,Performs a variety of repair and maintenance tasks in residential or commercial settings.,,,
Alva,Astronaut,"Trains for and conducts space missions, performing scientific research in microgravity.",,,
Payson,Oncologist,"Diagnoses and treats cancer using medical, radiation, or surgical interventions.",,,
Barrie,Human Resources Director,Leads strategic planning and operations as a human resources director.,,,
Ryen,Doctor,Provides medical care and support as a doctor.,,,
Armani,Lawyer,Provides legal representation and advice.,,,
Golden,Painter,Creates visual works as a painter.,,,
Jae,Childcare Worker,Performs duties related to being a childcare worker.,,,
Carey,Electrician,Installs and repairs systems as a electrician.,,,
Devyn,Plumber,Installs and repairs systems as a plumber.,,,
Kenyatta,Bartender,Prepares and serves drinks to customers.,,,
Tenzin,Comedian,Performs comedy routines to entertain audiences.,,,
Camdyn,Housekeeper,"Cleans and maintains living or working spaces, ensuring hygiene and order.",,,
Erie,Food Server,Takes orders and delivers food and beverages to customers in restaurants or dining establishments.,,,
Carlin,Lumberjack,"Cuts down trees and processes timber for transportation and sale, often working in remote forested areas.",,,
Garnett,School Principal,"Manages school operations, staff, and curriculum to ensure a safe and effective learning environment.",,,
Kary,Steward,"Assists passengers or guests by providing food, drink, and comfort in hospitality or transportation settings.",,,
Divine,Actor,"Portrays characters in film, television, theater, or commercials to entertain and tell stories.",,,
Camari,Cosmetologist,"Provides beauty treatments for hair, skin, and nails to enhance clients’ appearance and confidence.",,,
Jael,Skincare Specialist,Provides expertise in skincare operations.,,,
Kylin,Kindergarten Teacher,Teaches and supports students in kindergarten education.,,,
Jaime,Medical Secretary,"Manages administrative tasks in a healthcare setting, including scheduling appointments, handling records, and communicating with patients.",,,
Dakotah,Dental Hygienist,"Cleans teeth, examines oral health, and educates patients on dental hygiene under a dentist’s supervision.",,,
Storm,Phlebotomist,"Draws blood from patients for tests, transfusions, donations, or research while ensuring safety and comfort.",,,
Tru,Auditor,"Reviews financial records and operations to ensure accuracy, compliance, and efficiency.",,,
Jule,Home Health Aid,"Provides personal care and assistance to patients in their homes, supporting daily living and health needs.",,,
Carrol,EMT,"Responds to emergency calls, provides medical care on-site and during transport, and stabilizes patients.",,,
Vernie,Train Engineer,"Designs, tests, or maintains systems as a train engineer.",,,
Codie,Cashier,"Handles customer payments, processes transactions, and provides service at point-of-sale counters.",,,
Lux,Sawmill Worker,"Operates machinery to cut, process, and prepare logs into lumber and wood products.",,,
Carrington,Miner,"Extracts minerals or resources from underground or surface mines, often in physically demanding environments.",,,
Myrl,Shipping Clerk,"Prepares outgoing shipments, verifies orders, and maintains records of inventory and deliveries.",,,
Brighton,Factory Worker,Operates machinery or performs manual labor on production lines to manufacture goods.,,,
Ivory,Detective,"Investigates crimes by gathering evidence, interviewing witnesses, and solving cases.",,,
Shea,Veterinarian,"Diagnoses and treats illnesses and injuries in animals, providing preventive and emergency care.",,,
Artie,Optometrist,"Examines eyes, prescribes corrective lenses, and diagnoses vision problems and eye conditions.",,,
Indiana,Management Consultant,Provides expert advice in management.,,,
Marlow,Chemist,Conducts experiments and research as a chemist.,,,
Lavern,Dentist,"Diagnoses and treats dental issues, performs procedures like fillings and extractions, and promotes oral health through preventative care.",,,
Aris,Interior Designer,Creates and plans layouts or visuals in the interior field.,,,
Ocie,Telemarketer,"Makes outbound calls to promote products or services, generate leads, and handle customer inquiries.",,,
Dru,Education Administrator,"Oversees academic programs, staff, and policies in schools or educational institutions.",,,
Kiran,Photographer,"Captures images for artistic, commercial, or journalistic purposes using cameras and editing tools.",,,
Pat,Florist,"Designs and arranges floral displays for events, sales, or decoration, and provides customer recommendations.",,,
